MethodName,CallDepth,AlwaysUsed
937.areEqual,53,false
938.areEqual,54,false
939.iterableContains,51,false
940.iterableContains,52,false
941.areEqual,53,false
942.areEqual,54,false
943.missingElements,50,false
944.iterableContains,51,false
945.iterableContains,52,false
946.areEqual,53,false
947.areEqual,54,false
948.iterableContains,51,false
949.iterableContains,52,false
950.areEqual,53,false
951.areEqual,54,false
952.differencesFound,49,false
953.areEqual,49,false
954.areEqual,50,false
955.areEqual,51,false
956.areEqual,49,false
957.areEqual,50,false
958.areEqual,51,false
959.none,45,false
960.apply,45,false
961.should_fallback_to_field_if_exception_has_been_thrown_on_property_access,45,false
962.nameExtractor,46,false
963.setFirst,46,false
964.setName,46,false
965.setAge,46,false
966.extract,46,false
967.checkArgument,47,false
968.checkArgument,47,false
969.checkArgument,47,false
970.getValueOf,47,false
971.checkArgument,48,false
972.checkArgument,48,false
973.checkArgument,48,false
974.isNested,48,false
975.getSimpleValue,48,false
976.propertyValueOf,49,false
977.checkArgument,50,false
978.isNestedProperty,50,false
979.propertyValue,50,false
980.getPropertyGetter,51,false
981.checkNotNullOrEmpty,52,false
982.checkNotNullOrEmpty,53,false
983.checkNotNull,54,true
984.checkNotNull,52,true
985.findGetter,52,false
986.findMethod,53,false
987.getName,52,false
988.propertyNotFoundErrorMessage,53,false
989.quote,54,false
990.concat,55,false
991.isNullOrEmpty,56,false
992.isEmpty,57,false
993.findGetter,54,false
994.findMethod,55,false
995.fieldValue,53,false
996.isNestedField,54,false
997.readSimpleField,54,false
998.readField,55,false
999.checkArgument,56,false
1000.getField,56,false
1001.checkArgument,57,false
1002.checkArgument,57,false
1003.checkArgument,56,false
1004.readField,56,false
1005.readField,57,false
1006.checkArgument,58,false
1007.setAccessibleWorkaround,58,false
1008.isPackageAccess,59,false
1009.assertThat,50,true
1010.assertThat,51,true
1011.instance,52,true
1012.instance,52,true
1013.representation,52,true
1014.useRepresentation,52,true
1015.checkNotNull,53,true
1016.defaultTypeComparators,52,false
1017.put,53,false
1018.put,53,false
1019.setFirst,50,false
1020.isEqualTo,50,false
1021.assertEqual,51,false
1022.areEqual,52,false
1023.areEqual,53,false
1024.areEqual,54,false
1025.equals,55,false
1026.none,49,false
1027.apply,49,false
1028.should_prefer_properties_over_fields,49,false
1029.nameExtractor,50,false
1030.setFirst,50,false
1031.setName,50,false
1032.setAge,50,false
1033.extract,50,false
1034.checkArgument,51,false
1035.checkArgument,51,false
1036.checkArgument,51,false
1037.getValueOf,51,false
1038.checkArgument,52,false
1039.checkArgument,52,false
1040.checkArgument,52,false
1041.isNested,52,false
1042.getSimpleValue,52,false
1043.propertyValueOf,53,false
1044.checkArgument,54,false
1045.isNestedProperty,54,false
1046.propertyValue,54,false
1047.getPropertyGetter,55,false
1048.checkNotNullOrEmpty,56,false
1049.checkNotNullOrEmpty,57,false
1050.checkNotNull,58,true
1051.checkNotNull,56,true
1052.findGetter,56,false
1053.findMethod,57,false
1054.getName,56,false
1055.setFirst,57,false
1056.getName,55,false
1057.setFirst,56,false
1058.assertThat,50,true
1059.assertThat,51,true
1060.instance,52,true
1061.instance,52,true
1062.representation,52,true
1063.useRepresentation,52,true
1064.checkNotNull,53,true
1065.defaultTypeComparators,52,false
1066.put,53,false
1067.put,53,false
1068.setFirst,50,false
1069.isEqualTo,50,false
1070.assertEqual,51,false
1071.areEqual,52,false
1072.areEqual,53,false
1073.areEqual,54,false
1074.equals,55,false
1075.none,49,false
1076.apply,49,false
1077.should_throw_exception_if_no_object_is_given,49,false
1078.expectIllegalArgumentException,50,false
1079.expect,51,false
1080.idExtractor,50,false
1081.extract,50,false
1082.checkArgument,51,false
1083.checkArgument,51,false
1084.checkArgument,51,false
1085.none,52,false
1086.apply,52,false
1087.should_extract_property_values_when_no_public_field_match_given_name,52,false
1088.ageExtractor,53,false
1089.extract,53,false
1090.checkArgument,54,false
1091.checkArgument,54,false
1092.checkArgument,54,false
1093.getValueOf,54,false
1094.checkArgument,55,false
1095.checkArgument,55,false
1096.checkArgument,55,false
1097.isNested,55,false
1098.getSimpleValue,55,false
1099.propertyValueOf,56,false
1100.checkArgument,57,false
1101.isNestedProperty,57,false
1102.propertyValue,57,false
1103.getPropertyGetter,58,false
1104.checkNotNullOrEmpty,59,false
1105.checkNotNullOrEmpty,60,false
1106.checkNotNull,61,true
1107.checkNotNull,59,true
1108.findGetter,59,false
1109.findMethod,60,false
1110.getAge,59,false
1111.getAge,58,false
1112.assertThat,53,true
1113.assertThat,54,true
1114.instance,55,true
1115.instance,55,true
1116.representation,55,true
1117.useRepresentation,55,true
1118.checkNotNull,56,true
1119.defaultTypeComparators,55,false
1120.put,56,false
1121.put,56,false
1122.isEqualTo,53,false
1123.assertEqual,54,false
1124.areEqual,55,false
1125.areEqual,56,false
1126.areEqual,57,false
