Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/api/AbstractIntegerAssert.isBetween,(Ljava/lang/Integer;Ljava/lang/Integer;)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isBetween,(Ljava/lang/Number;Ljava/lang/Number;)Lorg/assertj/core/api/NumberAssert;,11,1
org/assertj/core/api/AbstractIntegerAssert.isBetween,(Ljava/lang/Comparable;Ljava/lang/Comparable;)Lorg/assertj/core/api/AbstractComparableAssert;,11,1
org/assertj/core/api/AbstractIterableAssert.newListAssertInstance,(Ljava/util/List;)Lorg/assertj/core/api/AbstractListAssert;,9,1
org/assertj/core/api/AbstractIterableAssert.isNullOrEmpty,()V,15,1
org/assertj/core/api/AbstractIterableAssert.isEmpty,()V,15,1
org/assertj/core/api/AbstractIterableAssert.isNotEmpty,()Lorg/assertj/core/api/AbstractIterableAssert;,18,1
org/assertj/core/api/AbstractIterableAssert.contains,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,19,1
org/assertj/core/api/AbstractIterableAssert.containsOnly,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,19,1
org/assertj/core/api/AbstractIterableAssert.containsExactly,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,19,1
org/assertj/core/api/AbstractIterableAssert.doesNotContain,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,19,1
org/assertj/core/api/AbstractIterableAssert.extracting,(Ljava/lang/String;)Lorg/assertj/core/api/AbstractListAssert;,39,1
org/assertj/core/api/AbstractIterableAssert.extracting,(Ljava/lang/String;Ljava/lang/Class;)Lorg/assertj/core/api/AbstractListAssert;,39,1
org/assertj/core/api/AbstractIterableAssert.extracting,([Ljava/lang/String;)Lorg/assertj/core/api/AbstractListAssert;,34,1
org/assertj/core/api/AbstractIterableAssert.extracting,(Lorg/assertj/core/api/iterable/Extractor;)Lorg/assertj/core/api/AbstractListAssert;,16,1
org/assertj/core/api/AbstractIterableAssert.extracting,(Lorg/assertj/core/api/iterable/ThrowingExtractor;)Lorg/assertj/core/api/AbstractListAssert;,16,1
org/assertj/core/api/AbstractIterableAssert.extracting,([Ljava/util/function/Function;)Lorg/assertj/core/api/ListAssert;,32,1
org/assertj/core/api/AbstractIterableAssert.first,()Lorg/assertj/core/api/AbstractAssert;,20,1
org/assertj/core/api/AbstractIterableAssert.last,()Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractIterableAssert.lastElement,()Ljava/lang/Object;,55,3
org/assertj/core/api/AbstractIterableAssert.element,(I)Lorg/assertj/core/api/AbstractAssert;,105,3
org/assertj/core/api/AbstractIterableAssert.toAssert,(Ljava/lang/Object;Ljava/lang/String;)Lorg/assertj/core/api/AbstractAssert;,2,1
org/assertj/core/api/AbstractIterableAssert.navigationDescription,(Ljava/lang/String;)Ljava/lang/String;,33,2
org/assertj/core/api/AbstractIterableAssert.as,(Ljava/lang/String;[Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,10,1
org/assertj/core/api/AbstractIterableAssert.as,(Lorg/assertj/core/description/Description;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/AbstractIterableAssert.describedAs,(Lorg/assertj/core/description/Description;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/AbstractIterableAssert.describedAs,(Ljava/lang/String;[Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,10,1
org/assertj/core/api/AbstractIterableAssert.hasToString,(Ljava/lang/String;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
